"Tabela 9942 - Moradores em domicílios particulares permanentes ocupados, por existência de conexão domiciliar à Internet, segundo a cor ou raça e os grupos de idade",Unnamed: 1
Variável - Moradores em domicílios particulares permanentes ocupados (Pessoas),
Brasil,
Ano - 2022,
Existência de conexão domiciliar à Internet - Total,
Cor ou raça - Total,
Grupo de idade,
Total,202122010.0
55 a 59 anos,11546623.0
60 a 64 anos,9930862.0
65 a 69 anos,7875437.0
70 anos ou mais,14224797.0
Fonte: IBGE - Censo Demográfico,
